annotation_index,index,sentence,label,gender
0,8204,As pedestrian as they come .,0.18,neut
1,2150,"Oft-described as the antidote to American Pie-type sex comedies , it actually has a bundle in common with them , as the film diffuses every opportunity for a breakthrough",0.33,neut
2,3960,I have a confession to make : I did n't particularly like E.T. the first time I saw it as a young boy .,0.25,masc
3,1308,Either a fascinating study of the relationship between mothers and their children or a disturbing story about sociopaths and their marks .,0.50,femm
4,2272,Manages to please its intended audience -- children -- without placing their parents in a coma-like state .,0.72,neut
5,1520,"With a story inspired by the tumultuous surroundings of Los Angeles , where feelings of marginalization loom for every dreamer with a burst bubble , The Dogwalker has a few characters and ideas , but it never manages to put them on the same path .",0.39,neut
6,7180,"Amid the shock and curiosity factors , the film is just a corny examination of a young actress trying to find her way .",0.31,femm
7,455,A solid examination of the male midlife crisis .,0.68,masc
8,7518,"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit .",0.22,masc
9,181,"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",0.72,masc
10,636,The idea of 49-year-old Roberto Benigni playing the wooden boy Pinocchio is scary enough .,0.40,masc
11,1199,"Might have been better off as a documentary , with less of Mr. Eyre 's uninspired dramatics and more of his sense of observation and outrage .",0.39,masc
12,6859,But that they are doing it is thought-provoking .,0.71,neut
13,1398,"A sensual performance from Abbass buoys the flimsy story , but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at .",0.62,femm
14,1787,We miss the quirky amazement that used to come along for an integral part of the ride .,0.24,femm
15,291,"Morton uses her face and her body language to bring us Morvern 's soul , even though the character is almost completely deadpan .",0.71,femm
16,560,They should have called it Gutterball .,0.26,neut
17,733,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael .,0.86,femm
18,5547,"Busy urban comedy is clearly not Zhang 's forte , his directorial touch is neither light nor magical enough to bring off this kind of whimsy .",0.24,masc
19,1264,focuses on Joan 's raging hormones and sledgehammers the audience with Spanish inquisitions about her `` madness '' so much that I became mad that I wasted 123 minutes and $ 9.50 on this 21st century torture device .,0.06,femm
20,4408,"The boys ' sparring , like the succession of blows dumped on Guei , wears down the story 's more cerebral , and likable , plot elements .",0.40,masc
21,8228,There are many definitions of ` time waster ' but this movie must surely be one of them .,0.14,neut
22,1998,"Nair 's cast is so large it 's Altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion .",0.89,femm
23,6489,"Scherfig , who has had a successful career in TV , tackles more than she can handle .",0.36,femm
24,6043,Kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,0.31,femm
25,242,( Haynes ' ) homage to such films as `` All That Heaven Allows '' and `` Imitation of Life '' transcends them .,0.57,neut
26,4148,If Sinise 's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over .,0.60,masc
27,5001,Parents beware ; this is downright movie penance .,0.32,neut
28,2466,His scenes are short and often unexpected .,0.56,masc
29,1434,"All Ms. Jovovich , as the sanctified heroine , has to do is look radiant , grimly purposeful and mildly alarmed while forcing open doors , wielding wrenches and fleeing monsters .",0.46,femm
30,7198,But they lack their idol 's energy and passion for detail .,0.32,neut
31,3720,The Lady and the Duke is Eric Rohmer 's economical antidote to the bloated costume drama,0.51,femm
32,2879,"Lovely and Amazing is Holofcener 's deep , uncompromising curtsy to women she knows , and very likely is .",0.76,femm
33,411,"On the Granger Movie Gauge of 1 to 10 , The Powerpuff Girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience .",0.67,femm
34,8007,"The sort of picture in which , whenever one of the characters has some serious soul searching to do , they go to a picture-perfect beach during sunset .",0.35,neut
35,1966,Daughter From Danang reveals that efforts toward closure only open new wounds .,0.39,femm
36,1807,Solondz is so intent on hammering home his message that he forgets to make it entertaining .,0.32,masc
37,6131,These guys seem great to knock back a beer with but they 're simply not funny performers .,0.36,neut
38,2079,"The only thing that could possibly make them less interesting than they already are is for them to get full montied into a scrappy , jovial team .",0.26,neut
39,7220,"Ice Cube is n't quite out of ripe screwball ideas , but Friday After Next spreads them pretty thin .",0.31,neut
40,159,"The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",0.78,neut
41,4776,"Children , Christian or otherwise , deserve to hear the full story of Jonah 's despair -- in all its agonizing , Catch-22 glory -- even if they spend years trying to comprehend it .",0.61,neut
42,2402,"It remains to be seen whether Statham can move beyond the crime-land action genre , but then again , who says he has to ?",0.42,masc
43,67,`` Birthday Girl '' is an actor 's movie first and foremost .,0.71,femm
44,7551,"It 's definitely not made for kids or their parents , for that matter , and I think even fans of Sandler 's comic taste may find it uninteresting .",0.38,neut
45,3865,But Mr. Polanski creates images even more haunting than those in Mr. Spielberg 's 1993 classic .,0.92,masc
46,1032,"The Man From Elysian Fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .",0.18,masc
47,3840,The first shocking thing about Sorority Boys is that it 's actually watchable .,0.67,masc
48,1031,Davis ... is so enamored of her own creation that she ca n't see how insufferable the character is .,0.24,femm
49,4045,"... a sweetly affecting story about four sisters who are coping , in one way or another , with life 's endgame .",0.65,femm
50,2285,"The Powerpuff Girls arrive on the big screen with their super-powers , their super-simple animation and their super-dooper-adorability intact .",0.78,femm
51,6080,"A timid , soggy near miss .",0.35,femm
52,6026,"Unofficially , National Lampoon 's Van Wilder is Son of Animal House .",0.40,masc
53,1964,The New Guy is one of them .,0.56,neut
54,5654,Essentially a collection of bits -- and they 're all naughty .,0.61,neut
55,1055,Majidi gets uniformly engaging performances from his largely amateur cast .,0.76,masc
56,7393,About as original as a gangster sweating bullets while worrying about a contract on his life .,0.46,masc
57,1572,"Philip K. Dick must be turning in his grave , along with my stomach .",0.14,masc
58,1096,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,0.29,neut
59,7876,"Lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .",0.11,masc
60,730,"A creepy , intermittently powerful study of a self-destructive man ... about as unsettling to watch as an exploratory medical procedure or an autopsy .",0.68,masc
61,158,What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,0.75,femm
62,2113,"the film belongs to the marvelous Verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public",0.72,femm
63,3588,"Everyone 's insecure in Lovely and Amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .",0.82,femm
64,3620,"Ana 's journey is not a stereotypical one of self-discovery , as she 's already comfortable enough in her own skin to be proud of her Rubenesque physique ...",0.56,femm
65,8182,The plot is paper-thin and the characters are n't interesting enough to watch them go about their daily activities for two whole hours .,0.11,neut
66,186,"Pacino is brilliant as the sleep-deprived Dormer , his increasing weariness as much existential as it is physical .",0.83,masc
67,1803,The situations and jokes are as predictable and as lowbrow as the endless pratfalls the boys take in their high heels .,0.24,masc
68,826,"Its cast full of caffeinated comedy performances more than make up for its logical loopholes , which fly by so fast there 's no time to think about them anyway .",0.72,neut
69,1577,"Mr. Caine and Mr. Fraser are the whole show here , with their memorable and resourceful performances .",0.81,masc
70,1909,"Feardotcom 's thrills are all cheap , but they mostly work .",0.46,neut
71,1150,But an unwillingness to explore beyond the surfaces of her characters prevents Nettelbeck 's film from coming together .,0.32,femm
72,478,Mr. Spielberg and his company just want you to enjoy yourselves without feeling conned .,0.72,masc
73,2678,Forget about one Oscar nomination for Julianne Moore this year - she should get all five .,0.96,femm
74,508,It 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .,0.72,masc
75,4922,"Feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .",0.31,masc
76,3486,"The unique niche of self-critical , behind-the-scenes navel-gazing Kaufman has carved from Orleans ' story and his own infinite insecurity is a work of outstanding originality .",0.85,masc
77,4711,"A non-Britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine .",0.22,neut
78,567,"The laser-projected paintings provide a spell-casting beauty , while Russell and Dreyfus are a romantic pairing of hearts , preciously exposed as history corners them .",0.76,neut
79,384,"Here is a divine monument to a single man 's struggle to regain his life , his dignity and his music .",0.82,masc
80,1695,Jackie Chan movies are a guilty pleasure - he 's easy to like and always leaves us laughing .,0.78,masc
