annotation_index,index,sentence,label,gender
99,90,While McFarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,0.38,masc
100,7044,"The star who helped give a spark to `` Chasing Amy '' and `` Changing Lanes '' falls flat as thinking man CIA agent Jack Ryan in this summer 's new action film , `` The Sum of All Fears . ''",0.22,masc
101,6314,The darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil .,0.25,femm
102,54,"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",0.79,femm
103,532,His healthy sense of satire is light and fun ...,0.78,masc
104,3652,"Mike White 's deft combination of serious subject matter and dark , funny humor make `` The Good Girl '' a film worth watching .",0.85,femm
105,4964,"Cox is far more concerned with aggrandizing madness , not the man , and the results might drive you crazy .",0.46,masc
106,8120,What they see in each other also is difficult to fathom .,0.24,neut
107,2409,"Adams , with four scriptwriters , takes care with the characters , who are so believable that you feel what they feel .",0.86,neut
108,7275,You 'll find yourself wishing that you and they were in another movie .,0.07,neut
109,7620,"Davis the performer is plenty fetching enough , but she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine .",0.43,femm
110,3407,"With an admirably dark first script by Brent Hanley , Paxton , making his directorial feature debut , does strong , measured work .",0.88,masc
111,947,It made me want to wrench my eyes out of my head and toss them at the screen .,0.39,neut
112,898,"There 's a solid woman - finding-herself story somewhere in here , but you 'd have to dig pretty deep to uncover it .",0.42,femm
113,7309,"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",0.25,masc
114,1292,"Clever and unflinching in its comic barbs , Slap Her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .",0.83,femm
115,1646,"Seeing Seinfeld at home as he watches his own appearance on Letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but .",0.58,masc
116,3880,"Even when he 's not at his most critically insightful , Godard can still be smarter than any 50 other filmmakers still at work .",0.72,masc
117,1979,"Blade II is as estrogen-free as movies get , so you might want to leave your date behind for this one , or she 's gonna make you feel like you owe her big-time .",0.46,femm
118,5071,To show these characters in the act and give them no feelings of remorse -- and to cut repeatedly to the flashback of the original rape -- is overkill to the highest degree .,0.40,neut
119,1535,"Though Howard demonstrates a great eye as a director , this Southern Gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",0.38,masc
120,5542,"His best film remains his shortest , The Hole , which makes many of the points that this film does but feels less repetitive .",0.56,masc
121,794,About nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the American dream .,0.71,neut
122,1576,"It 's something of the ultimate Scorsese film , with all the stomach-turning violence , colorful New York gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas .",0.97,masc
123,325,Girls gone wild and gone civil again,0.50,femm
124,406,One Hour Photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight .,0.31,masc
125,1325,"Davis is funny , charming and quirky in her feature film acting debut as Amy .",0.75,femm
126,2188,... the kind of entertainment that parents love to have their kids see .,0.83,neut
127,470,"Hardly an objective documentary , but it 's great cinematic polemic ... love Moore or loathe him , you 've got to admire ... the intensity with which he 's willing to express his convictions .",0.85,masc
128,102,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",0.61,femm
129,2990,"That Jack Nicholson makes this man so watchable is a tribute not only to his craft , but to his legend .",0.82,masc
130,6148,The film 's maudlin focus on the young woman 's infirmity and her naive dreams play like the worst kind of Hollywood heart-string plucking .,0.21,femm
131,1975,"Despite the predictable parent vs. child coming-of-age theme , first-class , natural acting and a look at `` the real Americans '' make this a charmer .",0.81,neut
132,4157,is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his Halloween trip to the Haunted House .,0.08,masc
133,5936,"For all the time we spend with these people , we never really get inside of them .",0.39,neut
134,3104,"One of the pleasures in Walter 's documentary ... is the parade of veteran painters , confounded dealers , and miscellaneous bohos who expound upon the subject 's mysterious personality without ever explaining him .",0.56,masc
135,185,"Maud and Roland 's search for an unknowable past makes for a haunting literary detective story , but LaBute pulls off a neater trick in Possession : He makes language sexy .",0.83,masc
136,339,It made me want to get made-up and go see this movie with my sisters .,0.72,femm
137,5949,The Sweetest Thing is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance .,0.06,neut
138,392,"With each of her three protagonists , Miller eloquently captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path .",0.83,femm
139,5634,"Well , they 're ` they ' .",0.50,neut
140,2610,"The word that comes to mind , while watching Eric Rohmer 's tribute to a courageous Scottish lady , is painterly .",0.72,femm
141,4941,"White has n't developed characters so much as caricatures , one-dimensional buffoons that get him a few laughs but nothing else .",0.29,masc
142,721,Maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while .,0.72,femm
143,5243,"There is something in Full Frontal , I guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see .",0.36,neut
144,2586,"Niccol the filmmaker merges his collaborators ' symbolic images with his words , insinuating , for example , that in Hollywood , only God speaks to the press",0.68,masc
145,4725,"They were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn .",0.14,neut
146,5112,Producer John Penotti surveyed high school students ... and came back with the astonishing revelation that `` they wanted to see something that did n't talk down to them . '',0.62,neut
147,3106,He 's the scariest guy you 'll see all summer .,0.74,masc
148,1248,Director Douglas McGrath takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .,0.07,masc
149,6699,"Writer-director Walter Hill and co-writer David Giler try to create characters out of the obvious cliches , but wind up using them as punching bags .",0.22,neut
150,290,The Son 's Room is a triumph of gentility that earns its moments of pathos .,0.68,masc
151,2178,Like other great documentaries ... this goes after one truth ( the Ford administration 's complicity in tearing ` orphans ' from their mothers ) and stumbles upon others even more compelling .,0.53,femm
152,1995,"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic .",0.89,masc
153,4153,"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny .",0.60,neut
154,5824,The Balkans provide the obstacle course for the love of a good woman .,0.56,femm
155,6732,"In old-fashioned screenwriting parlance , Ms. Shreve 's novel proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast .",0.31,femm
156,3543,"A heady , biting , be-bop ride through nighttime Manhattan , a loquacious videologue of the modern male and the lengths to which he 'll go to weave a protective cocoon around his own ego .",0.65,masc
157,7009,"Richard Pryor mined his personal horrors and came up with a treasure chest of material , but Lawrence gives us mostly fool 's gold .",0.28,masc
158,75,Some movies blend together as they become distant memories .,0.44,neut
159,1516,"Birthday Girl does n't try to surprise us with plot twists , but rather seems to enjoy its own transparency .",0.69,femm
